latitude,longitude,location_type
47.3471843,-123.0676404,destination charger
33.7603,-116.362218,destination charger
32.641745,-96.888506,destination charger
38.9788384,-92.5654654,destination charger
44.286279,-121.536878,destination charger
34.009207,-118.492867,destination charger
36.816601,-114.063987,destination charger
34.427554,-93.084472,destination charger
24.916295,-80.633372,destination charger
34.258767,-80.604834,destination charger
35.584158,-120.714971,destination charger
38.407219,-122.94643,destination charger
39.559625,-120.828017,destination charger
38.507342,-122.428543,destination charger
42.352564,-73.288507,destination charger
27.960272,-82.518576,destination charger
40.120546,-82.022756,destination charger
40.039804,-76.28137,destination charger
42.362848,-73.2818329,destination charger
35.052463,-118.175947,supercharger
41.70995,-112.198576,supercharger
43.057279,-73.804334,destination charger
34.01765,-118.501217,destination charger
25.812762,-80.122904,destination charger
38.312891,-122.482471,destination charger
37.503267,-122.493831,destination charger
40.756722,-73.97406,destination charger
41.970814,-87.6677516,destination charger
33.848401,-84.365385,destination charger
38.692118,-76.175449,destination charger
24.553609,-81.794764,destination charger
43.724622,-72.6158105,destination charger
37.651321,-118.986123,destination charger
42.496212,-90.664436,destination charger
38.0440242,-78.9045217,destination charger
45.265905,-123.0555,destination charger
40.383155,-82.2118,destination charger
35.1067998,-77.04247,destination charger
34.7250279,-83.4535375,destination charger
40.198803,-77.19005,destination charger
39.137114,-88.563468,supercharger
32.715797,-117.161544,destination charger
45.8770183,-123.9619663,destination charger
30.44599,-97.868845,destination charger
35.192673,-101.932979,destination charger
38.599918,-122.639262,destination charger
33.146664,-117.242044,destination charger
33.801643,-116.529291,destination charger
38.950837,-92.328797,destination charger
32.0682392,-81.0925612,destination charger
29.048805,-95.566459,destination charger
40.75744,-111.890545,destination charger
34.692831,-83.681681,destination charger
37.9237706,-79.2036335,destination charger
44.0311193,-69.5425126,destination charger
40.006896,-75.210763,destination charger
33.501485,-111.924058,destination charger
43.8617455,-70.1002136,destination charger
39.8459468,-75.6321627,destination charger
39.145162,-123.197807,destination charger
38.292615,-122.287015,destination charger
36.124239,-121.637041,destination charger
43.685908,-114.36668,destination charger
29.042152,-95.401348,destination charger
42.336121,-73.2589239,destination charger
43.611307,-116.2733311,destination charger
38.305275,-122.283453,destination charger
37.7947045,-79.4699173,destination charger
42.298922,-73.292023,destination charger
30.384828,-86.323939,destination charger
36.289315,-97.325935,supercharger
43.102424,-76.187446,supercharger
30.671556,-88.118644,supercharger
38.78216,-90.5329,supercharger
24.725916,-81.047519,supercharger
32.320791,-90.176512,destination charger
32.8838084,-117.2449668,destination charger
33.982146,-118.459493,destination charger
30.395197,-97.726426,destination charger
33.6718019,-78.9035179,destination charger
42.404325,-86.141746,destination charger
43.387736,-123.334434,destination charger
39.966312,-105.784233,destination charger
34.046049,-118.266185,destination charger
34.046119,-118.266227,destination charger
45.467299,-123.843014,destination charger
28.595656,-81.347208,destination charger
38.031934,-78.493365,destination charger
30.0133,-98.10817,destination charger
29.9951,-98.100622,destination charger
32.847417,-117.275211,destination charger
32.8419782,-83.6383323,destination charger
37.269852,-107.885496,destination charger
39.654916,-77.1730675,destination charger
35.5587454,-121.0801186,destination charger
44.80671,-106.940331,destination charger
35.614854,-82.541825,destination charger
38.1035619,-78.56579,destination charger
33.591998,-83.860383,destination charger
37.534318,-77.428758,destination charger
40.187264,-76.1903,destination charger
38.136964,-120.461852,destination charger
36.11826,-78.903672,destination charger
30.352669,-97.70974,destination charger
32.7176572,-117.1669007,destination charger
38.341938,-122.324832,destination charger
47.610845,-122.347258,destination charger
33.739751,-116.407298,destination charger
41.024869,-74.739386,destination charger
42.3009484,-73.2642675,destination charger
47.608043,-122.334072,destination charger
35.578439,-121.115586,destination charger
40.034396,-92.489891,destination charger
30.352052,-97.708054,destination charger
35.645075,-120.688609,destination charger
28.474705,-81.464334,destination charger
28.220655,-80.676034,destination charger
26.43845,-82.077549,destination charger
47.476001,-120.376514,destination charger
40.717948,-74.570447,destination charger
38.9946328,-74.8073284,destination charger
38.8474668,-104.8645278,destination charger
30.663897,-81.4606757,destination charger
32.43976,-97.788643,destination charger
44.0584385,-70.4256569,destination charger
40.2948925,-76.6038306,destination charger
40.983011,-73.687898,destination charger
38.499949,-122.478679,destination charger
43.486905,-88.129861,destination charger
43.774591,-103.608451,destination charger
37.198988,-112.989664,destination charger
43.9076112,-103.4370891,destination charger
29.4172627,-98.4926587,destination charger
